,id1,id2,pkd,pkd2
0,0_lig_assembled_0_pdb,0,4.822157655,4.822157655
1,11_lig_assembled_1_pdb,1,4.019920928,4.019920928
2,22_lig_assembled_2_pdb,2,5.45004906,5.45004906
3,33_lig_assembled_3_pdb,3,5.414654664,5.414654664
4,43_lig_assembled_4_pdb,4,4.936536312,4.936536312
5,54_lig_assembled_5_pdb,5,5.089238848,5.089238848
6,60_lig_assembled_6_pdb,6,5.765306064,5.765306064
7,71_lig_assembled_7_pdb,7,6.092206138,6.092206138
8,81_lig_assembled_8_pdb,8,5.046675614,5.046675614
9,86_lig_assembled_9_pdb,9,4.72133112,4.72133112
10,1_lig_assembled_10_pdb,10,4.591107573,4.591107573
11,2_lig_assembled_11_pdb,11,4.742842947,4.742842947
12,3_lig_assembled_12_pdb,12,4.986008985,4.986008985
13,4_lig_assembled_13_pdb,13,5.346450124,5.346450124
14,5_lig_assembled_14_pdb,14,4.581477812,4.581477812
15,6_lig_assembled_15_pdb,15,5.145851953,5.145851953
16,7_lig_assembled_16_pdb,16,4.957836424,4.957836424
17,8_lig_assembled_17_pdb,17,4.887384278,4.887384278
18,9_lig_assembled_18_pdb,18,5.272304671,5.272304671
19,10_lig_assembled_19_pdb,19,3.883994613,3.883994613
20,12_lig_assembled_20_pdb,20,5.747224263,5.747224263
21,13_lig_assembled_21_pdb,21,4.924826894,4.924826894
22,14_lig_assembled_22_pdb,22,4.521847793,4.521847793
23,15_lig_assembled_23_pdb,23,6.43956416,6.43956416
24,16_lig_assembled_24_pdb,24,4.458717755,4.458717755
25,17_lig_assembled_25_pdb,25,6.221654892,6.221654892
26,18_lig_assembled_26_pdb,26,4.937594584,4.937594584
27,19_lig_assembled_27_pdb,27,5.733134542,5.733134542
28,20_lig_assembled_28_pdb,28,4.98156602,4.98156602
29,21_lig_assembled_29_pdb,29,6.029066971,6.029066971
30,23_lig_assembled_30_pdb,30,5.37258625,5.37258625
31,24_lig_assembled_31_pdb,31,5.21672024,5.21672024
32,25_lig_assembled_32_pdb,32,4.117705243,4.117705243
33,26_lig_assembled_33_pdb,33,4.600200994,4.600200994
34,27_lig_assembled_34_pdb,34,7.492732729,7.492732729
35,28_lig_assembled_35_pdb,35,4.227996486,4.227996486
36,29_lig_assembled_36_pdb,36,6.6284835,6.6284835
37,30_lig_assembled_37_pdb,37,5.194287641,5.194287641
38,31_lig_assembled_38_pdb,38,5.703135627,5.703135627
39,32_lig_assembled_39_pdb,39,4.543629169,4.543629169
40,34_lig_assembled_40_pdb,40,5.661741734,5.661741734
41,35_lig_assembled_41_pdb,41,4.792206356,4.792206356
42,36_lig_assembled_42_pdb,42,5.016680513,5.016680513
43,37_lig_assembled_43_pdb,43,4.217596735,4.217596735
44,38_lig_assembled_44_pdb,44,5.870600905,5.870600905
45,39_lig_assembled_46_pdb,46,5.549669811,5.549669811
46,40_lig_assembled_47_pdb,47,5.851380348,5.851380348
47,41_lig_assembled_48_pdb,48,4.104539769,4.104539769
48,42_lig_assembled_49_pdb,49,4.220033816,4.220033816
49,44_lig_assembled_50_pdb,50,4.264256852,4.264256852
50,45_lig_assembled_51_pdb,51,5.340183122,5.340183122
51,46_lig_assembled_52_pdb,52,5.59780223,5.59780223
52,47_lig_assembled_53_pdb,53,4.353562798,4.353562798
53,48_lig_assembled_54_pdb,54,4.652599096,4.652599096
54,49_lig_assembled_55_pdb,55,4.176032339,4.176032339
55,50_lig_assembled_56_pdb,56,5.850480625,5.850480625
56,51_lig_assembled_57_pdb,57,3.97617851,3.97617851
57,52_lig_assembled_58_pdb,58,6.217647961,6.217647961
58,53_lig_assembled_59_pdb,59,4.898339476,4.898339476
59,55_lig_assembled_60_pdb,60,5.917902402,5.917902402
60,56_lig_assembled_61_pdb,61,4.2342406,4.2342406
61,57_lig_assembled_62_pdb,62,4.634226697,4.634226697
62,58_lig_assembled_63_pdb,63,4.93303442,4.93303442
63,59_lig_assembled_64_pdb,64,6.121638298,6.121638298
64,61_lig_assembled_70_pdb,70,6.194041525,6.194041525
65,62_lig_assembled_71_pdb,71,5.361052786,5.361052786
66,63_lig_assembled_72_pdb,72,4.565039022,4.565039022
67,64_lig_assembled_73_pdb,73,5.017175198,5.017175198
68,65_lig_assembled_74_pdb,74,5.453073502,5.453073502
69,66_lig_assembled_75_pdb,75,5.650986535,5.650986535
70,67_lig_assembled_76_pdb,76,5.171707835,5.171707835
71,68_lig_assembled_77_pdb,77,7.150037902,7.150037902
72,69_lig_assembled_78_pdb,78,5.236399582,5.236399582
73,70_lig_assembled_79_pdb,79,4.926413264,4.926413264
74,72_lig_assembled_81_pdb,81,5.739501544,5.739501544
75,73_lig_assembled_82_pdb,82,5.205800329,5.205800329
76,74_lig_assembled_83_pdb,83,6.248597826,6.248597826
77,75_lig_assembled_84_pdb,84,5.98752233,5.98752233
78,76_lig_assembled_85_pdb,85,5.737600871,5.737600871
79,77_lig_assembled_86_pdb,86,5.277630738,5.277630738
80,78_lig_assembled_87_pdb,87,4.922008446,4.922008446
81,79_lig_assembled_88_pdb,88,6.909001555,6.909001555
82,80_lig_assembled_89_pdb,89,6.417800631,6.417800631
83,82_lig_assembled_90_pdb,90,5.61645174,5.61645174
84,83_lig_assembled_91_pdb,91,6.160856519,6.160856519
85,84_lig_assembled_92_pdb,92,6.281503609,6.281503609
86,85_lig_assembled_93_pdb,93,4.709737505,4.709737505
